[30/01/2025 18:46:16,73]  
[13/02/2025 22:18:05,02] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[13/02/2025 22:18:05,02] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[14/02/2025 20:58:35,81] Iniciando backup do banco de dados. 
[14/02/2025 20:58:35,81] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[14/02/2025 20:58:35,81] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[15/02/2025 12:19:37,56] Iniciando backup do banco de dados. 
[15/02/2025 12:19:37,56] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[15/02/2025 12:19:37,56] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[15/02/2025 17:31:58,69] Iniciando backup do banco de dados. 
[15/02/2025 17:31:58,69] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[15/02/2025 17:31:58,69] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[15/02/2025 18:18:46,97] Iniciando backup do banco de dados. 
[15/02/2025 18:18:46,97] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[15/02/2025 18:18:46,97] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[15/02/2025 19:00:39,49] Iniciando backup do banco de dados. 
[15/02/2025 19:00:39,49] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[15/02/2025 19:00:39,49] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
